label;url
bottle;https://thumbs.dreamstime.com/b/hand-woman-plastic-bottle-bottle-caps-littering-environment-rubbish-grass-background-concept-environmental-66329539.jpg
bottle;https://thumbs.dreamstime.com/b/%D0%BF-%D0%B0%D1%81%D1%82%D0%B8%D1%87%D0%BD%D1%8B%D0%B5-%D0%B1%D1%83%D1%82%D1%8B-%D0%BA%D0%B8-%D0%BC%D0%B8%D0%BD%D0%B5%D1%80%D0%B0-%D1%8C%D0%BD%D0%BE%D0%B9-%D0%B2%D0%BE-%D1%8B-%D0%BD%D0%B0-%D1%82%D1%80%D0%B0%D0%B2%D0%B5-%D0%B2-%D0%BF%D0%B0%D1%80%D0%BA%D0%B5-%D0%B7%D0%B0%D1%81%D0%B0%D1%80%D0%B8%D0%B2%D0%B0%D1%82%D1%8C-83684883.jpg
bottle;https://image.shutterstock.com/image-photo/empty-plastic-bottles-on-ground-600w-1492801013.jpg
bottle;https://st2.depositphotos.com/3518393/9703/i/950/depositphotos_97034480-stock-photo-plastic-bottles-of-mineral-water.jpg
bottle;https://st2.depositphotos.com/3518393/12355/i/950/depositphotos_123557804-stock-photo-plastic-bottle-of-mineral-water.jpg
bottle;https://avatars.mds.yandex.net/i?id=7ce64bc3d8da7aa9e914715557a1f1c3-5501647-images-thumbs&ref=rim&n=33&w=338&h=225
bottle;https://avatars.mds.yandex.net/i?id=ae8cb27458571d7965294b7bd01dcbe4-4571079-images-thumbs&ref=rim&n=33&w=339&h=225
bottle;https://avatars.mds.yandex.net/i?id=1c2272968ac49de405d9263ef2d98ba7-5869064-images-thumbs&ref=rim&n=33&w=306&h=225
bottle;https://avatars.mds.yandex.net/i?id=c69e593e7e69cb87c5f069b19de17111-5910728-images-thumbs&ref=rim&n=33&w=338&h=225
bottle;https://avatars.mds.yandex.net/i?id=8608be551697e1b422aadf2a63b2bd04-5236457-images-thumbs&ref=rim&n=33&w=338&h=225
cola can;http://levik.com/i/p/2016/ny/cokelitter.jpg
cola can;https://images.squarespace-cdn.com/content/v1/57a3b84220099e5233bf6e06/1478706738460-011AL5D104EN633A35RD/image-asset.jpeg
cola can;https://thumbs.dreamstime.com/z/%D1%81%D0%B1%D1%80%D0%BE%D1%88%D0%B5%D0%BD%D0%BD%D0%B0%D1%8F-%D0%BF%D1%83%D1%81%D1%82%D0%B0%D1%8F-%D0%BA%D0%BE%D0%BD%D1%81%D0%B5%D1%80%D0%B2%D0%BD%D0%B0%D1%8F-%D0%B1%D0%B0%D0%BD%D0%BA%D0%B0-%D0%BA%D0%BE%D0%BA%D0%B0-%D0%BA%D0%BE%D0%BB%D1%8B-%D0%BA%D0%BE%D0%BA%D1%81%D0%B0-%D0%B2-%D1%83%D0%BB%D0%B8%D1%86%D0%B5-%D0%B4%D1%83%D0%B1%D0%BB%D0%B8%D0%BD%D0%B5-148182302.jpg
cola can;https://thumbs.dreamstime.com/z/crushed-coca-cola-tin-can-floor-94962686.jpg
cola can;http://blogga.ru/image/days/20051023/gauss04.jpg
cola can;https://i.ytimg.com/vi/EsjwaeWra5Q/maxresdefault.jpg
cola can;https://gsminfo.com.ua/wp-content/uploads/2022/03/d1f5e5f0a661c4119af7e8ab87871f9259d9ea8c.png
cola can;https://www.nearbyme2.com/wp-content/uploads/2020/08/Aluminum-Cans-1160x653.jpg
cola can;http://justerz.ru/wp-content/uploads/2011/06/cola1.jpg
cola can;https://image.shutterstock.com/image-photo/putrajaya-malaysia-july-14th-2015-260nw-296969408.jpg
